date,open,high,low,close,adjusted_close,volume
2023-04-11,1992.495,2007.51,1988.865,2004.795,2004.795,38
2023-04-12,2004.785,2028.35,2001.33,2018.25,2018.25,37
2023-04-13,2018.24,2048.69,2015.37,2039.78,2039.78,34
2023-04-14,2039.775,2047.495,1992.47,2004.38,2004.38,251
2023-04-16,2001.195,2005.125,1999.76,2002.97,2002.97,27
2023-04-17,2002.985,2015.08,1981.19,1993.99,1993.99,128
2023-04-18,1993.98,2011.895,1991.34,2005.84,2005.84,33
2023-04-19,2005.83,2008.225,1969.275,1993.74,1993.74,202
2023-04-20,1993.75,2012.41,1990.58,2005.34,2005.34,35
2023-04-21,2005.33,2005.59,1971.655,1983.04,1983.04,187
2023-04-23,1982.26,1985.425,1981.855,1984.72,1984.72,22
2023-04-24,1984.71,1996.655,1974.185,1995.095,1995.095,73
2023-04-25,1995.11,2003.895,1976.16,2000.28,2000.28,114
2023-04-26,2000.27,2009.39,1983.39,1991.76,1991.76,104
2023-04-27,1991.755,2003.355,1974.175,1986.99,1986.99,108
2023-04-28,1986.98,1995.065,1976.225,1989.53,1989.53,74
2023-04-30,1989.86,1992.0,1986.715,1986.965,1986.965,35
2023-05-01,1986.97,2006.06,1977.135,1981.475,1981.475,69
2023-05-02,1981.485,2019.44,1978.53,2016.0,2016.0,34
2023-05-03,2015.99,2062.92,2008.05,2052.03,2052.03,59
2023-05-04,2052.02,2059.61,2030.41,2050.01,2050.01,125
2023-05-05,2050.0,2053.05,1999.54,2016.79,2016.79,266
2023-05-07,2016.42,2017.41,2014.33,2016.1,2016.1,30
2023-05-08,2016.11,2029.43,2015.26,2021.385,2021.385,24
2023-05-09,2021.37,2037.68,2019.58,2036.38,2036.38,28
2023-05-10,2036.37,2048.34,2021.58,2031.51,2031.51,92
2023-05-11,2031.52,2041.3,2011.19,2016.45,2016.45,120
2023-05-12,2016.46,2022.61,2001.02,2011.04,2011.04,96
2023-05-14,2008.69,2012.1,2008.69,2009.67,2009.67,20
2023-05-15,2009.65,2022.22,2008.76,2014.49,2014.49,24
2023-05-16,2014.5,2018.38,1985.55,1989.76,1989.76,163
2023-05-17,1989.77,1993.09,1975.08,1982.84,1982.84,93
2023-05-18,1982.85,1986.1,1952.01,1958.49,1958.49,175
2023-05-19,1958.5,1984.25,1954.11,1977.75,1977.75,42
2023-05-21,1978.19,1981.58,1978.09,1980.93,1980.93,20
2023-05-22,1980.94,1982.7,1968.96,1969.89,1969.89,80
2023-05-23,1969.91,1977.81,1954.32,1975.12,1975.12,99
2023-05-24,1975.13,1985.35,1956.77,1959.85,1959.85,112
2023-05-25,1959.86,1964.87,1938.89,1940.58,1940.58,126
2023-05-26,1940.6,1957.33,1936.84,1946.84,1946.84,39
